Date,Duration,Leave Time,Minutes,From
2018-06-07,23:00,5:06:00 PM,23,GTRI
2018-06-04,28:01,5:01:00 PM,28.01666667,GTRI
2018-05-29,16:03,5:15:00 PM,16.05,GTRI
2018-05-23,24:56,5:05:00 PM,24.93333333,GTRI
2018-05-22,24:52,4:44:00 PM,24.86666667,GTRI
2018-05-21,16:33,,16.55,GTRI
2018-05-17,23:18,4:43:00 PM,23.3,GTRI
2018-05-16,16:02,4:44:00 PM,16.03333333,GTRI
2018-05-15,18:47,5:01:00 PM,18.78333333,GTRI
2018-05-14,18:37,4:50:00 PM,18.61666667,GTRI
2018-05-09,30:39,5:06:00 PM,30.65,GTRI
2018-05-08,35:28,5:20:00 PM,35.46666667,GTRI
2018-05-02,28:29,6:00:00 PM,28.48333333,SC
2018-04-27,15:40,2:20:00 PM,15.66666667,SC
2018-04-23,21:38,4:55:00 PM,21.63333333,SC
2018-04-18,22:45,4:20:00 PM,22.75,SC
2018-06-11,20:50,5:40:00 PM,20.83333333,GTRI
2018-06-08,32:56,5:00:00 PM,32.93333333,GTRI
2018-04-16,21:14,4:35:00 PM,21.23333333,SC
2018-04-03,18:40,6:10:00 PM,18.66666667,SC
2018-03-27,19:59,6:00:00 PM,19.98333333,SC
2018-03-14,16:34,4:20:00 PM,16.56666667,SC
2018-03-13,14:17,5:55:00 PM,14.28333333,SC
2018-03-06,19:35,5:40:00 PM,19.58333333,SC
2018-03-05,29:29,5:30:00 PM,29.48333333,SC
2018-02-28,20:28,4:25:00 PM,20.46666667,SC
2018-02-26,13:01,5:20:00 PM,13.01666667,SC
2018-02-20,18:32,6:00:00 PM,18.53333333,SC
2018-02-19,16:31,4:35:00 PM,16.51666667,SC
2018-02-12,13:49,4:30:00 PM,13.81666667,SC
2018-02-07,20:31,4:30:00 PM,20.51666667,SC
2018-02-03,19:45,4:40:00 PM,19.75,SC
2018-01-29,18:43,4:30:00 PM,18.71666667,SC
2018-01-22,17:54,4:30:00 PM,17.9,SC
2017-08-14,17:04,4:30:00 PM,17.06666667,GTRI
2017-08-15,28:30,5:05:00 PM,28.5,GTRI
2017-08-16,22:03,4:40:00 PM,22.05,GTRI
2017-08-17,27:30,5:05:00 PM,27.5,GTRI
2017-08-18,24:03,4:40:00 PM,24.05,GTRI
2017-08-22,21:49,5:55:00 PM,21.81666667,Physics
2017-08-24,17:39,6:00:00 PM,17.65,SC
2017-08-25,25:51,4:35:00 PM,25.85,CRC
2017-08-28,26:28,3:00:00 PM,26.46666667,SC
2017-08-29,18:23,5:55:00 PM,18.38333333,SC
2017-08-30,16:38,4:15:00 PM,16.63333333,SC
2017-08-31,19:06,6:10:00 PM,19.1,SC
2018-09-01,19:34,3:05:00 PM,19.56666667,SC
2017-09-05,18:45,6:00:00 PM,18.75,SC
2017-09-06,15:07,3:05:00 PM,15.11666667,SC
2017-09-07,19:34,6:00:00 PM,19.56666667,SC
2017-09-08,18:34,3:00:00 PM,18.56666667,SC
2017-09-14,25:19,6:15:00 PM,25.31666667,SC
2017-09-15,22:34,3:10:00 PM,22.56666667,SC
2017-09-18,15:29,3:00:00 PM,15.48333333,SC
2017-09-26,19:12,6:00:00 PM,19.2,SC
2017-09-28,15:15,,15.25,SC
2017-09-29,17:50,3:00:00 PM,17.83333333,SC
2017-10-02,15:56,3:00:00 PM,15.93333333,SC
2017-10-02,13:33,3:00:00 PM,13.55,SC
2017-10-05,14:56,6:00:00 PM,14.93333333,SC
2017-10-17,17:01,6:00:00 PM,17.01666667,SC
2017-10-18,19:51,3:00:00 PM,19.85,SC
2017-10-23,16:30,3:00:00 PM,16.5,SC
2017-10-27,21:09,3:00:00 PM,21.15,SC
2017-11-01,17:35,3:00:00 PM,17.58333333,SC
2017-11-02,24:04,6:00:00 PM,24.06666667,SC
2017-11-09,17:25,6:00:00 PM,17.41666667,SC
2017-11-13,19:02,3:00:00 PM,19.03333333,SC
2017-11-27,13:24,3:00:00 PM,13.4,SC
2017-11-28,19:20,6:00:00 PM,19.33333333,SC
2018-06-13,20:27,5:00:00 PM,20.45,GTRI
2018-07-12,20:41,6:00:00 PM,20.68333333,GTRI
2018-07-13,17:21,3:50:00 PM,17.35,GTRI
2018-07-31,22:04,5:45:00 PM,22.06666667,GTRI
2018-07-24,15:23,7:00:00 PM,15.38333333,GTRI
2018-07-23,20:39,5:05:00 PM,20.65,GTRI
2018-07-20,19:06,3:00:00 PM,19.1,GTRI
2018-07-05,15:59,4:45:00 PM,15.98333333,GTRI
2018-06-25,21:20,5:10:00 PM,21.33333333,GTRI
2018-08-01,20:28,4:45:00 PM,20.46666667,GTRI